doc_id,severity_level,sigma,font_size,num_paragraphs,laplacian_variance,tenengrad,gradient_magnitude_mean
doc_007,8,8.0,20,5,1.5358417112299465,160.6356192513369,8.792763953260186
doc_008,0,0.0,20,5,10125.191629946525,120444.42734545455,144.47273890061138
doc_008,1,0.5,20,5,4941.3972855614975,85933.14554438503,127.22696104646398
doc_008,2,1.0,20,5,704.8076192513369,31677.860256684493,85.64511539709068
doc_008,3,1.5,20,5,143.05669090909092,12605.373180748664,58.2229822908056
doc_008,4,2.0,20,5,36.33424385026738,5995.445321925134,43.005737044022474
doc_008,5,3.0,20,5,5.51151871657754,2428.071396791444,30.346163239490554
doc_008,6,4.0,20,5,2.5294395721925134,1395.4113668449197,24.488779023134494
doc_008,7,6.0,20,5,1.8905882352941177,498.5713540106952,15.446049404735835
doc_008,8,8.0,20,5,1.5734951871657754,164.66279786096257,9.044469556973667
doc_009,0,0.0,28,2,6899.993172192513,106018.34861176471,125.90945929529029
doc_009,1,0.5,28,2,3450.926121925134,80608.7425368984,114.86986188159513
doc_009,2,1.0,28,2,620.0409326203209,36389.379178609626,86.3585546119301
doc_009,3,1.5,28,2,165.36454973262033,16579.579105882352,63.29001869357872
doc_009,4,2.0,28,2,51.36202139037433,7802.871811764706,46.33808894936644
doc_009,5,3.0,28,2,6.796106951871658,2393.0257582887702,28.368310248576766
doc_009,6,4.0,28,2,2.297225668449198,1248.7215529411765,22.10483880616662
doc_009,7,6.0,28,2,1.5591807486631015,558.3556919786096,16.071168436172744
doc_009,8,8.0,28,2,1.4593497326203209,269.90433796791444,11.512409818972062
doc_010,0,0.0,28,2,7319.134590374331,113025.52236149732,134.2307395432975
doc_010,1,0.5,28,2,3666.435935828877,85979.22574973262,122.46536412036983
doc_010,2,1.0,28,2,661.0367871657754,38828.06850909091,92.05746999408584
doc_010,3,1.5,28,2,176.38610481283422,17678.852444919787,67.46291766319037
doc_010,4,2.0,28,2,54.90455614973262,8305.36927486631,49.338066829398834
doc_010,5,3.0,28,2,7.243537967914438,2508.138327272727,29.964128754668963
doc_010,6,4.0,28,2,2.410727272727273,1300.9424556149734,23.229758011013256
doc_010,7,6.0,28,2,1.6446160427807486,586.3240812834225,16.944883922532597
doc_010,8,8.0,28,2,1.5311358288770054,283.3559101604278,12.130058337384272
doc_011,0,0.0,28,5,7125.374727272727,109515.28853903743,130.21096379631385
doc_011,1,0.5,28,5,3566.3467037433156,83237.04111229947,118.74621994295443
doc_011,2,1.0,28,5,640.5835144385027,37520.41711229947,89.15939715177026
doc_011,3,1.5,28,5,170.392128342246,17084.342036363636,65.3096372048861
doc_011,4,2.0,28,5,52.88585882352941,8047.259636363637,47.83696359971124
doc_011,5,3.0,28,5,7.026260962566845,2466.017980748663,29.26802662053084
doc_011,6,4.0,28,5,2.3705754010695186,1283.3836577540108,22.758561805997424
doc_011,7,6.0,28,5,1.606385026737968,574.2891679144385,16.545229359588255
doc_011,8,8.0,28,5,1.5016427807486632,277.42726844919787,11.84263030458517
doc_012,0,0.0,28,5,6982.240021390375,107176.63512727273,127.31027695616149
doc_012,1,0.5,28,5,3488.6692342245988,81509.84596363637,116.15258159706319
doc_012,2,1.0,28,5,627.5381754010696,36803.81629518716,87.32447430932098
doc_012,3,1.5,28,5,167.1872320855615,16776.28100962567,64.02769931712628
doc_012,4,2.0,28,5,51.99716363636364,7902.496744385026,46.89459312642137
doc_012,5,3.0,28,5,6.915182887700535,2405.6582288770055,28.607228466065752
doc_012,6,4.0,28,5,2.308412834224599,1247.0616855614974,22.18571285625461
doc_012,7,6.0,28,5,1.5615229946524065,560.2782545454545,16.165295964598855
doc_012,8,8.0,28,5,1.4623336898395722,271.2708577540107,11.586114421114166
