doc_id,severity_level,darkening_factor,global_mean,darkest_block_mean,p5,p25,p50,p75,p95
doc_010,3,0.55,232.60777860962565,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_010,4,0.4,232.36402887700535,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_010,5,0.25,232.11424919786097,42.65625,0.0,255.0,255.0,255.0,255.0
doc_011,0,1.0,233.9651155080214,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_011,1,0.85,233.71403636363635,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_011,2,0.7,233.46935401069518,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_011,3,0.55,233.22474973262032,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_011,4,0.4,232.98009197860964,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_011,5,0.25,232.72942139037434,43.5,0.0,255.0,255.0,255.0,255.0
doc_012,0,1.0,234.40452727272728,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,1,0.85,234.15620855614972,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,2,0.7,233.91428663101604,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,3,0.55,233.67237860962567,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,4,0.4,233.43048128342247,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,5,0.25,233.18273796791445,42.109375,0.0,255.0,255.0,255.0,255.0
